0,1,0,1,0.24,0.2879,0.81,0,4,0,6,0,16
0,1,1,1,0.22,0.2727,0.8,0,4,0,6,0,40
0,1,2,1,0.22,0.2727,0.8,0,4,0,6,0,32
0,1,3,1,0.24,0.2879,0.75,0,4,0,6,0,13
0,1,4,1,0.24,0.2879,0.75,0,4,0,6,0,1
0,1,5,2,0.24,0.2576,0.75,0.0896,4,0,6,0,1
0,1,6,1,0.22,0.2727,0.8,0,4,0,6,0,2
0,1,7,1,0.2,0.2576,0.86,0,4,0,6,0,3
0,1,8,1,0.24,0.2879,0.75,0,4,0,6,0,8
0,1,9,1,0.32,0.3485,0.76,0,4,0,6,0,14
0,1,10,1,0.38,0.3939,0.76,0.2537,4,0,6,0,36
0,1,11,1,0.36,0.3333,0.81,0.2836,4,0,6,0,56
0,1,12,1,0.42,0.4242,0.77,0.2836,4,0,6,0,84
0,1,13,2,0.46,0.4545,0.72,0.2985,4,0,6,0,94
0,1,14,2,0.46,0.4545,0.72,0.2836,4,0,6,0,106
0,1,15,2,0.44,0.4394,0.77,0.2985,4,0,6,0,110
0,1,16,2,0.42,0.4242,0.82,0.2985,4,0,6,0,93
0,1,17,2,0.44,0.4394,0.82,0.2836,4,0,6,0,67
0,1,18,3,0.42,0.4242,0.88,0.2537,4,0,6,0,35
0,1,19,3,0.42,0.4242,0.88,0.2537,4,0,6,0,37
0,1,20,2,0.4,0.4091,0.87,0.2537,4,0,6,0,36
0,1,21,2,0.4,0.4091,0.87,0.194,4,0,6,0,34
0,1,22,2,0.4,0.4091,0.94,0.2239,4,0,6,0,28
0,1,23,2,0.46,0.4545,0.88,0.2985,4,0,6,0,39
0,1,0,2,0.46,0.4545,0.88,0.2985,4,0,7,0,17
0,1,1,2,0.44,0.4394,0.94,0.2537,4,0,7,0,17
0,1,2,2,0.42,0.4242,1,0.2836,4,0,7,0,9
0,1,3,2,0.46,0.4545,0.94,0.194,4,0,7,0,6
0,1,4,2,0.46,0.4545,0.94,0.194,4,0,7,0,3
0,1,6,3,0.42,0.4242,0.77,0.2985,4,0,7,0,2
0,1,7,2,0.4,0.4091,0.76,0.194,4,0,7,0,1
0,1,8,3,0.4,0.4091,0.71,0.2239,4,0,7,0,8
0,1,9,2,0.38,0.3939,0.76,0.2239,4,0,7,0,20
0,1,10,2,0.36,0.3485,0.81,0.2239,4,0,7,0,53
0,1,11,2,0.36,0.3333,0.71,0.2537,4,0,7,0,70
0,1,12,2,0.36,0.3333,0.66,0.2985,4,0,7,0,93
0,1,13,2,0.36,0.3485,0.66,0.1343,4,0,7,0,75
0,1,14,3,0.36,0.3485,0.76,0.194,4,0,7,0,59
0,1,15,3,0.34,0.3333,0.81,0.1642,4,0,7,0,74
0,1,16,3,0.34,0.3333,0.71,0.1642,4,0,7,0,76
0,1,17,1,0.34,0.3333,0.57,0.194,4,0,7,0,65
0,1,18,2,0.36,0.3333,0.46,0.3284,4,0,7,0,53
0,1,19,1,0.32,0.2879,0.42,0.4478,4,0,7,0,30
0,1,20,1,0.3,0.2727,0.39,0.3582,4,0,7,0,22
0,1,21,1,0.26,0.2273,0.44,0.3284,4,0,7,0,31
0,1,22,1,0.24,0.2121,0.44,0.2985,4,0,7,0,9
0,1,23,1,0.22,0.2273,0.47,0.1642,4,0,7,0,8
0,1,0,1,0.22,0.197,0.44,0.3582,4,0,1,1,5
0,1,1,1,0.2,0.1667,0.44,0.4179,4,0,1,1,2
0,1,4,1,0.16,0.1364,0.47,0.3881,4,0,1,1,1
0,1,5,1,0.16,0.1364,0.47,0.2836,4,0,1,1,3
0,1,6,1,0.14,0.1061,0.5,0.3881,4,0,1,1,30
0,1,7,1,0.14,0.1364,0.5,0.194,4,0,1,1,64
0,1,8,1,0.14,0.1212,0.5,0.2836,4,0,1,1,154
0,1,9,1,0.16,0.1364,0.43,0.3881,4,0,1,1,88
0,1,10,1,0.18,0.1667,0.43,0.2537,4,0,1,1,44
0,1,11,1,0.2,0.1818,0.4,0.3284,4,0,1,1,51
0,1,12,1,0.22,0.2121,0.35,0.2985,4,0,1,1,61
0,1,13,1,0.24,0.2121,0.35,0.2836,4,0,1,1,61
0,1,14,1,0.26,0.2424,0.3,0.2836,4,0,1,1,77
0,1,15,1,0.26,0.2424,0.3,0.2537,4,0,1,1,72
0,1,16,1,0.26,0.2424,0.3,0.2537,4,0,1,1,76
0,1,17,1,0.24,0.2273,0.3,0.2239,4,0,1,1,157
0,1,18,1,0.24,0.2576,0.32,0.1045,4,0,1,1,157
0,1,19,1,0.2,0.2576,0.47,0,4,0,1,1,110
0,1,20,1,0.2,0.2273,0.47,0.1045,4,0,1,1,52
0,1,21,1,0.18,0.197,0.64,0.1343,4,0,1,1,52
0,1,22,1,0.14,0.1515,0.69,0.1343,4,0,1,1,20
0,1,23,1,0.18,0.2121,0.55,0.1045,4,0,1,1,12
0,1,0,1,0.16,0.1818,0.55,0.1045,4,0,2,1,5
0,1,1,1,0.16,0.1818,0.59,0.1045,4,0,2,1,2
0,1,2,1,0.14,0.1515,0.63,0.1343,4,0,2,1,1
0,1,4,1,0.14,0.1818,0.63,0.0896,4,0,2,1,2
0,1,5,1,0.12,0.1515,0.68,0.1045,4,0,2,1,4
0,1,6,1,0.12,0.1515,0.74,0.1045,4,0,2,1,36
0,1,7,1,0.12,0.1515,0.74,0.1343,4,0,2,1,94
0,1,8,1,0.14,0.1515,0.69,0.1642,4,0,2,1,179
0,1,9,1,0.16,0.1515,0.64,0.2239,4,0,2,1,100
0,1,10,2,0.16,0.1364,0.69,0.3284,4,0,2,1,42
0,1,11,1,0.22,0.2121,0.51,0.2985,4,0,2,1,57
0,1,12,1,0.22,0.2273,0.51,0.1642,4,0,2,1,78
0,1,13,1,0.24,0.2273,0.56,0.194,4,0,2,1,97
0,1,14,1,0.26,0.2576,0.52,0.2239,4,0,2,1,63
0,1,15,1,0.28,0.2727,0.52,0.2537,4,0,2,1,65
0,1,16,1,0.3,0.2879,0.49,0.2537,4,0,2,1,83
0,1,17,1,0.28,0.2727,0.48,0.2239,4,0,2,1,212
0,1,18,1,0.26,0.2576,0.48,0.194,4,0,2,1,182
0,1,19,1,0.24,0.2576,0.48,0.1045,4,0,2,1,112
0,1,20,1,0.24,0.2576,0.48,0.1045,4,0,2,1,54
0,1,21,1,0.22,0.2727,0.64,0,4,0,2,1,48
0,1,22,1,0.22,0.2576,0.64,0.0896,4,0,2,1,35
